#options: 480x320 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=umh subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=700 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 vbv_maxrate=10000 vbv_bufsize=10000 nal_hrd=none filler=0 ip_ratio=1.41 aq=1:1.00
in:124 out:124 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:148 out:148 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:149 out:149 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:150 out:150 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:151 out:151 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:152 out:152 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:153 out:153 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:154 out:154 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:155 out:155 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:156 out:156 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:157 out:157 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:158 out:158 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:159 out:159 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:160 out:160 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
